Класс	Форма шапки	Поверхность шляпки	Цвет шляпки	Синие пятна	Запах	Форма крепления гименофора к ножке	Частота гименофора	Размер гименофора	Цвет гименофора	Форма ножки	Корень ножки	Поверхность ножки выше кольца	Поверхность ножки ниже кольца	Цвет ножки выше кольца	Цвет ножки ниже кольца	Тип покрывала	Цвет покрывала	Количество колец	Остатки частного покрывала	Цвет спор	Частота грибницы	Место обитания
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
съедобный	колокол	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	тонковолокнистая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	вогнутая	волокнистая	серый	нет	отсутствует	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	город
съедобный	плоская	волокнистая	белый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
ядовитый	выпуклая	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
ядовитый	выпуклая	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
съедобный	колокол	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
ядовитый	выпуклая	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	трава
съедобный	колокол	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
съедобный	колокол	чешуйчатая	белый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	колокол	гладкая	белый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
ядовитый	плоская	гладкая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	выпуклая	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	плоская	волокнистая	коричневый	нет	отсутствует	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	город
съедобный	выпуклая	гладкая	желтый	есть	миндаля	свободный	частые	узкий	коричневый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	колокол	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	выпуклая	чешуйчатая	коричневый	есть	аниса	свободный	закрытые	широкий	розовый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	дороги
съедобный	колокол	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
съедобный	выпуклая	волокнистая	желтый	есть	аниса	свободный	частые	узкий	белый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	вогнутая	волокнистая	серый	нет	отсутствует	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	город
ядовитый	выпуклая	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	город
съедобный	выпуклая	волокнистая	желтый	есть	миндаля	свободный	частые	узкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	колокол	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
съедобный	колокол	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	дороги
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	закрытые	узкий	серый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	город
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	трава
съедобный	выпуклая	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	выпуклая	чешуйчатая	белый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
съедобный	выпуклая	гладкая	белый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	дороги
съедобный	плоская	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	дороги
съедобный	выпуклая	чешуйчатая	коричневый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	гладкая	белый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	колокол	гладкая	белый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
ядовитый	выпуклая	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
ядовитый	выпуклая	гладкая	белый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	город
съедобный	колокол	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	колокол	гладкая	белый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	трава
съедобный	выпуклая	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	выпуклая	чешуйчатая	коричневый	есть	миндаля	свободный	закрытые	широкий	розовый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	дороги
съедобный	вогнутая	волокнистая	серый	нет	отсутствует	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	колокол	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
съедобный	колокол	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
съедобный	колокол	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
съедобный	колокол	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	плоская	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	обильные	трава
съедобный	выпуклая	гладкая	белый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	плоская	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	выпуклая	волокнистая	серый	нет	отсутствует	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	плоская	волокнистая	желтый	есть	аниса	свободный	частые	узкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	колокол	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
съедобный	плоская	волокнистая	желтый	есть	аниса	свободный	частые	узкий	белый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	выпуклая	чешуйчатая	коричневый	есть	миндаля	свободный	закрытые	широкий	розовый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	дороги
съедобный	колокол	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	плоская	гладкая	желтый	есть	аниса	свободный	частые	узкий	розовый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	леса
съедобный	выпуклая	гладкая	белый	есть	аниса	свободный	частые	узкий	коричневый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	фиолетовый	редкие	леса
съедобный	плоская	чешуйчатая	коричневый	есть	аниса	свободный	закрытые	широкий	розовый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	дороги
ядовитый	выпуклая	чешуйчатая	коричневый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	плоская	чешуйчатая	коричневый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	белый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	плоская	волокнистая	серый	нет	отсутствует	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	город
съедобный	выпуклая	волокнистая	серый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	колокол	гладкая	белый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	гладкая	белый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	плоская	чешуйчатая	коричневый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	трава
съедобный	вогнутая	волокнистая	коричневый	нет	отсутствует	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	город
съедобный	колокол	гладкая	белый	есть	аниса	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	выпуклая	гладкая	коричневый	нет	отсутствует	свободный	частые	широкий	коричневый	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	гладкая	белый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	плоская	чешуйчатая	коричневый	есть	аниса	свободный	закрытые	широкий	розовый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	колокол	гладкая	белый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	белый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	трава
съедобный	выпуклая	волокнистая	коричневый	нет	отсутствует	свободный	частые	широкий	розовый	сужающаяся к основанию	цилиндрический	тонковолокнистая	гладкая	белый	белый	частное	белый	одно	затухающая	черный	разбросанные	трава
съедобный	колокол	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	плоская	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	дороги
съедобный	колокол	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	белый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	одиночные	трава
съедобный	колокол	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
съедобный	колокол	чешуйчатая	белый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
съедобный	выпуклая	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	выпуклая	гладкая	желтый	есть	аниса	свободный	закрытые	широкий	белый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	вогнутая	волокнистая	серый	нет	отсутствует	свободный	закрытые	узкий	серый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	одиночные	город
съедобный	выпуклая	волокнистая	белый	есть	миндаля	свободный	частые	узкий	белый	сужающаяся к основанию	луковичный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	фиолетовый	редкие	леса
съедобный	выпуклая	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	редкие	город
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	розовый	расширенная к основанию	ризоморфа	гладкая	чешуйчатая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	трава
